File,StartLine,EndLine,ConfigExpr,ConfigList,ConfigValues,Effective
linux-6.18-rc3/arch/riscv/lib/uaccess.S,44,49,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V=y,True
linux-6.18-rc3/arch/riscv/mm/context.c,20,275,CONFIG_MMU,CONFIG_MMU,CONFIG_MMU=y,True
linux-6.18-rc3/arch/riscv/mm/context.c,276,281,!(CONFIG_MMU),CONFIG_MMU,CONFIG_MMU=y,False
linux-6.18-rc3/arch/riscv/mm/context.c,301,314,CONFIG_SMP,CONFIG_SMP,CONFIG_SMP=y,True
linux-6.18-rc3/arch/riscv/mm/pageattr.c,95,259,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/pageattr.c,280,336,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/pageattr.c,337,343,!(CONFIG_64BIT),CONFIG_64BIT,CONFIG_64BIT=y,False
linux-6.18-rc3/arch/riscv/mm/pageattr.c,404,432,CONFIG_DEBUG_PAGEALLOC,CONFIG_DEBUG_PAGEALLOC,CONFIG_DEBUG_PAGEALLOC=y,True
linux-6.18-rc3/arch/riscv/mm/pgtable.c,44,59,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/pgtable.c,62,136,CONFIG_HAVE_ARCH_HUGE_VMAP,CONFIG_HAVE_ARCH_HUGE_VMAP,CONFIG_HAVE_ARCH_HUGE_VMAP=y,True
linux-6.18-rc3/arch/riscv/mm/pgtable.c,138,166,CONFIG_TRANSPARENT_HUGEPAGE,CONFIG_TRANSPARENT_HUGEPAGE,CONFIG_TRANSPARENT_HUGEPAGE=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,44,45,CONFIG_XIP_KERNEL,CONFIG_XIP_KERNEL,CONFIG_XIP_KERNEL=unset,False
linux-6.18-rc3/arch/riscv/mm/init.c,48,49,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,50,51,!(CONFIG_64BIT),CONFIG_64BIT,CONFIG_64BIT=y,False
linux-6.18-rc3/arch/riscv/mm/init.c,55,59,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,65,69,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,86,87,CONFIG_ZONE_DMA32,CONFIG_ZONE_DMA32,CONFIG_ZONE_DMA32=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,94,168,defined(CONFIG_MMU) && defined(CONFIG_DEBUG_VM),CONFIG_MMU CONFIG_DEBUG_VM,CONFIG_MMU=y CONFIG_DEBUG_VM=y,False
linux-6.18-rc3/arch/riscv/mm/init.c,169,170,!(defined(CONFIG_MMU) && defined(CONFIG_DEBUG_VM)),CONFIG_MMU CONFIG_DEBUG_VM,CONFIG_MMU=y CONFIG_DEBUG_VM=y,False
linux-6.18-rc3/arch/riscv/mm/init.c,176,177,CONFIG_FLATMEM,CONFIG_FLATMEM,CONFIG_FLATMEM=unset,False
linux-6.18-rc3/arch/riscv/mm/init.c,200,201,CONFIG_XIP_KERNEL,CONFIG_XIP_KERNEL,CONFIG_XIP_KERNEL=unset,False
linux-6.18-rc3/arch/riscv/mm/init.c,251,252,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,322,357,CONFIG_RELOCATABLE,CONFIG_RELOCATABLE,CONFIG_RELOCATABLE=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,360,1379,CONFIG_MMU,CONFIG_MMU,CONFIG_MMU=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,1380,1395,!(CONFIG_MMU),CONFIG_MMU,CONFIG_MMU=y,False
linux-6.18-rc3/arch/riscv/mm/init.c,1438,1440,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,1447,1471,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,1474,1537,defined(CONFIG_MMU) && defined(CONFIG_64BIT),CONFIG_64BIT CONFIG_MMU,CONFIG_64BIT=y CONFIG_MMU=y,False
linux-6.18-rc3/arch/riscv/mm/init.c,1540,1571,CONFIG_EXECMEM,CONFIG_EXECMEM,CONFIG_EXECMEM=y,True
linux-6.18-rc3/arch/riscv/mm/init.c,1574,1839,CONFIG_MEMORY_HOTPLUG,CONFIG_MEMORY_HOTPLUG,CONFIG_MEMORY_HOTPLUG=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,65,67,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,72,74,CONFIG_KASAN,CONFIG_KASAN,CONFIG_KASAN=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,76,78,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,88,90,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,95,97,CONFIG_KASAN,CONFIG_KASAN,CONFIG_KASAN=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,99,101,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,113,125,CONFIG_EFI,CONFIG_EFI,CONFIG_EFI=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,137,145,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,217,225,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,237,238,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,239,240,!(CONFIG_64BIT),CONFIG_64BIT,CONFIG_64BIT=y,False
linux-6.18-rc3/arch/riscv/mm/ptdump.c,430,432,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_SPARSEMEM_VMEMMAP=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,437,439,CONFIG_KASAN,CONFIG_KASAN,CONFIG_KASAN=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,441,443,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/mm/ptdump.c,457,460,CONFIG_EFI,CONFIG_EFI,CONFIG_EFI=y,True
